acc,organism,clade,arm
PV575771.1,"Sargassum hemiphyllum var. chinense haplotype 1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gen",Brown algae,B1_sparse_clade
LC791202.1,"Pleurozia subinflata NICH: T. Katagiri 4278 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase la",Liverworts,B1_sparse_clade
LC791194.1,"Porella ulophylla TNS: Y. Inoue 8267 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Liverworts,B1_sparse_clade
AB540052.1,"Gloiopeltis complanata chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete",Red algae,B1_sparse_clade
AB540051.1,"Gloiopeltis complanata chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete",Red algae,B1_sparse_clade
AB540050.1,"Gloiopeltis complanata chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete",Red algae,B1_sparse_clade
AB540049.1,"Gloiopeltis complanata chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete",Red algae,B1_sparse_clade
AB540048.1,"Gloiopeltis complanata chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete",Red algae,B1_sparse_clade
AB540047.1,"Gloiopeltis sp. Nomozaki/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, c",Red algae,B1_sparse_clade
AB540046.1,"Gloiopeltis sp. Oiso/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, compl",Red algae,B1_sparse_clade
AB540045.1,"Gloiopeltis sp. Nakai/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comp",Red algae,B1_sparse_clade
AB540044.1,"Gloiopeltis sp. Tebajima/2004 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, c",Red algae,B1_sparse_clade
AB540043.1,"Gloiopeltis sp. Wakayama/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, c",Red algae,B1_sparse_clade
AB540042.1,"Gloiopeltis sp. Goza/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, compl",Red algae,B1_sparse_clade
AB540041.1,"Gloiopeltis sp. Touji/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comp",Red algae,B1_sparse_clade
